********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622520971|Jun 01 04:16:11|63|296.584516|296.589784|5.050801|4.999778|-99.628189|6.222332|27.322814749877345|107.700128825605162|52.513146|492.035328|492.527360
1622520973|Jun 01 04:16:13|64|296.592872|296.598140|5.050696|4.999658|-99.599444|6.224347|27.322743343569471|107.700214983136192|52.484440|491.702016|492.142336
1622520975|Jun 01 04:16:15|67|296.600385|296.605653|5.050791|4.999739|-99.577958|6.217706|27.323423445643229|107.700780398365751|52.463139|511.557120|512.033792
1622520977|Jun 01 04:16:17|64|296.608318|296.613585|5.050181|4.999115|-99.586583|6.224427|27.323317499018692|107.701606007938310|52.472106|697.778176|698.246656
1622520979|Jun 01 04:16:19|65|296.617508|296.622777|5.051025|4.999942|-99.614241|6.224038|27.323282332159252|107.700273670375367|52.499226|487.020288|487.469056
1622520981|Jun 01 04:16:21|73|296.625329|296.630594|5.049644|4.998547|-99.523280|6.224642|27.322733975015012|107.701821140692815|52.408928|512.364800|512.914432
1622520983|Jun 01 04:16:23|65|296.633656|296.638923|5.050813|4.999700|-99.612481|6.220810|27.323550417628482|107.700879587067035|52.497695|493.313024|493.778432
1622520985|Jun 01 04:16:25|66|296.641918|296.647184|5.049947|4.998820|-99.568742|6.227894|27.323029638463375|107.701664648896326|52.454308|487.132672|487.567616
1622520987|Jun 01 04:16:27|66|296.648792|296.654058|5.050447|4.999307|-99.551155|6.219500|27.324452074137788|107.702384103601460|52.436921|673.319936|673.835776
1622520989|Jun 01 04:16:29|66|296.657918|296.663187|5.051736|5.000579|-99.580800|6.219309|27.324767319320614|107.700732966128442|52.465875|496.538880|497.061376
1622520991|Jun 01 04:16:31|68|296.666148|296.671414|5.050495|4.999322|-99.571586|6.229501|27.324014596305098|107.701853708748544|52.457165|1203.803136|1204.243200
1622520994|Jun 01 04:16:34|70|296.676745|296.682012|5.050604|4.999413|-99.550943|6.224241|27.325502787038083|107.703240895141519|52.436988|933.859072|934.352896
1622520996|Jun 01 04:16:36|67|296.687691|296.692957|5.050344|4.999133|-99.583550|6.227584|27.323435887138075|107.701479522243346|52.469014|685.152256|685.615104
1622520998|Jun 01 04:16:38|68|296.695756|296.701023|5.050803|4.999577|-99.658830|6.218786|27.323960163325445|107.701323222830240|52.544196|469.790208|470.305536
1622521000|Jun 01 04:16:40|67|296.703598|296.708865|5.051104|4.999863|-99.565111|6.217797|27.324540364935224|107.701467465758725|52.450499|701.403648|701.890560
1622521002|Jun 01 04:16:42|63|296.712742|296.718009|5.050942|4.999684|-99.562274|6.216195|27.323854886909608|107.701000096103940|52.447516|899.736064|900.193792
1622521004|Jun 01 04:16:44|64|296.722361|296.727626|5.050245|4.998971|-99.520451|6.223038|27.322459677261321|107.700610872047477|52.405625|636.769536|637.271808
1622521006|Jun 01 04:16:46|66|296.730410|296.735676|5.050425|4.999136|-99.562274|6.216195|27.322805965478786|107.700696895362228|52.447461|1647.386880|1647.855616
1622521009|Jun 01 04:16:49|63|296.743702|296.748966|5.049948|4.998635|-99.536142|6.224554|27.321928735155176|107.700511928618099|52.421311|672.145664|672.590080
1622521012|Jun 01 04:16:52|62|296.752566|296.757831|5.050447|4.999117|-99.551155|6.219500|27.324946658553266|107.702900860071992|52.437098|756.935168|757.409024
1622521014|Jun 01 04:16:54|66|296.761156|296.766420|5.049760|4.998414|-99.520451|6.223038|27.324308344319590|107.703288893162267|52.406592|498.270464|498.739712
1622521016|Jun 01 04:16:56|60|296.770088|296.775354|5.050529|4.999167|-99.571586|6.229501|27.324410966618139|107.702215329084012|52.457286|332.842240|333.354240
1622521017|Jun 01 04:16:57|65|296.777229|296.782493|5.049981|4.998606|-99.571586|6.229501|27.321876250735521|107.700406702317323|52.456716|509.464832|509.944576
1622521019|Jun 01 04:16:59|60|296.784453|296.789717|5.050200|4.998811|-99.566845|6.221013|27.322851102475965|107.701090378821704|52.452189|489.763584|490.228736
1622521021|Jun 01 04:17:01|63|296.792727|296.797991|5.050113|4.998709|-99.505651|6.223343|27.322851920196342|107.701225047938834|52.391049|488.011776|488.518656
1622521023|Jun 01 04:17:03|64|296.801002|296.806268|5.050834|4.999415|-99.628189|6.222332|27.323401692370872|107.700691651679392|52.513336|334.741248|335.182592
1622521025|Jun 01 04:17:05|56|296.808135|296.813399|5.050294|4.998862|-99.628189|6.222332|27.323927078612421|107.702070881870256|52.513862|469.926400|470.454016
1622521027|Jun 01 04:17:07|59|296.816211|296.821475|5.050084|4.998638|-99.550113|6.222843|27.323988410552779|107.702457272463420|52.435937|329.978112|330.473728
1622521029|Jun 01 04:17:09|69|296.823497|296.828762|5.050956|4.999496|-99.614241|6.224038|27.325363311429037|107.702554911075424|52.500017|345.680128|346.181376
1622521030|Jun 01 04:17:10|56|296.830395|296.835661|5.051150|4.999678|-99.580800|6.219309|27.323509961389078|107.700319015689189|52.465788|718.138880|718.621952
1622521032|Jun 01 04:17:12|61|296.839793|296.845057|5.050417|4.998927|-99.628189|6.222332|27.322250500745177|107.700129018710712|52.513183|480.727040|481.211648
1622521034|Jun 01 04:17:14|65|296.847973|296.853237|5.050495|4.998990|-99.583738|6.222827|27.322432401493913|107.700199291655437|52.468747|499.258624|499.688448
1622521036|Jun 01 04:17:16|62|296.855122|296.860387|5.050759|4.999242|-99.547492|6.216499|27.323493090540623|107.700901608137883|52.432718|331.138048|331.653632
1622521038|Jun 01 04:17:18|58|296.863066|296.868330|5.050438|4.998907|-99.553781|6.225845|27.323575611506833|107.701481094188267|52.439236|323.951872|324.431872
1622521040|Jun 01 04:17:20|57|296.870392|296.875656|5.050768|4.999223|-99.565944|6.219184|27.324551875400985|107.701995514752952|52.451545|470.794752|471.235840
1622521042|Jun 01 04:17:22|57|296.878495|296.883759|5.050261|4.998701|-99.613397|6.222640|27.324391632093608|107.702606295531083|52.499256|474.930688|475.367168
1622521044|Jun 01 04:17:24|61|296.886853|296.892116|5.049783|4.998208|-99.598532|6.222515|27.324065016836521|107.702999342186985|52.484572|337.548544|338.091776
1622521045|Jun 01 04:17:25|60|296.893877|296.899142|5.050901|4.999313|-99.599444|6.224347|27.322748412051766|107.699905824068225|52.484314|676.834816|677.339136
1622521047|Jun 01 04:17:27|57|296.903068|296.908331|5.050474|4.998870|-99.611389|6.222427|27.321849358158858|107.699621144403224|52.496202|886.792448|887.226368
1622521050|Jun 01 04:17:30|62|296.912283|296.917547|5.051255|4.999634|-99.641189|6.217495|27.324803292617283|107.701509752025572|52.526577|953.993216|954.474752
1622521052|Jun 01 04:17:32|64|296.922123|296.927387|5.050425|4.998785|-99.599444|6.224347|27.323154445134271|107.701061977736288|52.484757|696.933888|697.427712
1622521054|Jun 01 04:17:34|60|296.930800|296.936063|5.050722|4.999067|-99.577054|6.215880|27.323123348987217|107.700571951194902|52.462170|687.506176|688.031232
1622521056|Jun 01 04:17:36|61|296.939152|296.944414|5.050106|4.998436|-99.534422|6.221329|27.322706940213330|107.701082995788568|52.419773|622.211584|622.677504
1622521058|Jun 01 04:17:38|58|296.947840|296.953105|5.051502|4.999816|-99.566845|6.221013|27.323414908482896|107.699678479761545|52.451580|670.200576|670.658048
1622521061|Jun 01 04:17:41|64|296.956168|296.961433|5.051712|5.000011|-99.641189|6.217495|27.326627571280099|107.702714771165589|52.526947|459.228416|459.781120
1622521062|Jun 01 04:17:42|60|296.965087|296.970351|5.051221|4.999503|-99.655968|6.217188|27.322833138229193|107.699502137962881|52.540669|605.168128|605.615360
1622521064|Jun 01 04:17:44|62|296.973254|296.978516|5.050561|4.998829|-99.592741|6.217394|27.322522465313121|107.700191089084925|52.477742|696.120832|696.600832
1622521067|Jun 01 04:17:47|63|296.981478|296.986741|5.050736|4.998988|-99.565111|6.217797|27.325787056775901|107.703335489807827|52.451175|695.693312|696.181760
1622521069|Jun 01 04:17:49||1854.006272
1622521072|Jun 01 04:17:52||1415.642112
1622521075|Jun 01 04:17:55||1349.450752
1622521078|Jun 01 04:17:58|62|297.028372|297.033634|5.050598|4.998765|-99.520522|6.226134|27.325010503144114|107.702735283413872|52.406394|780.646400|781.089280
1622521080|Jun 01 04:18:00|58|297.037401|297.042662|5.050133|4.998283|-99.579848|6.218614|27.324202696078785|107.702606213113256|52.465720|1753.987840|1754.434048
1622521083|Jun 01 04:18:03||1422.391552
1622521086|Jun 01 04:18:06|66|297.063696|297.068958|5.050882|4.998984|-99.614559|6.231183|27.323817324655380|107.701052169001031|52.499825|1124.056320|1124.514304
1622521088|Jun 01 04:18:08|61|297.074272|297.079533|5.050356|4.998439|-99.526033|6.221322|27.321839141145851|107.699792818850128|52.410917|1749.532672|1749.962752
1622521091|Jun 01 04:18:11|56|297.086922|297.092183|5.050586|4.998646|-99.552743|6.220221|27.321911700442229|107.699514682746155|52.437509|1392.452864|1392.951296
1622521094|Jun 01 04:18:14||2157.210624
1622521098|Jun 01 04:18:18|59|297.113219|297.118480|5.051034|4.999046|-99.538099|6.227832|27.324368848240184|107.701395993257790|52.423469|1058.352384|1058.787328
1622521100|Jun 01 04:18:20||2200.143616
1622521104|Jun 01 04:18:24|59|297.139292|297.144553|5.050851|4.998815|-99.526033|6.221322|27.323511282452358|107.700780473844631|52.411209|790.316032|790.808320
1622521106|Jun 01 04:18:26|58|297.148133|297.153393|5.050595|4.998543|-99.526033|6.221322|27.322982920693782|107.700621198113538|52.411178|1760.579072|1761.022976
1622521109|Jun 01 04:18:29|52|297.162226|297.167486|5.050454|4.998376|-99.520522|6.226134|27.321749193501958|107.699548283950378|52.405312|1717.270528|1717.751040
1622521113|Jun 01 04:18:33|60|297.174497|297.179758|5.050775|4.998676|-99.520522|6.226134|27.325209471509524|107.702671432961026|52.406355|1023.369728|1023.810304
1622521115|Jun 01 04:18:35||1245.058816
1622521118|Jun 01 04:18:38||1792.307200
1622521121|Jun 01 04:18:41|58|297.209733|297.214992|5.050504|4.998340|-99.526033|6.221322|27.323702839049183|107.701513649665543|52.411494|965.640448|966.066176
1622521123|Jun 01 04:18:43|59|297.220285|297.225544|5.050536|4.998353|-99.526033|6.221322|27.322122465092143|107.699811616227009|52.410906|631.751424|632.176128
1622521125|Jun 01 04:18:45|59|297.228151|297.233409|5.049799|4.997602|-99.580484|6.224821|27.321978448642938|107.700793218915464|52.465764|356.133632|356.558848
1622521127|Jun 01 04:18:47||1187.889408
1622521130|Jun 01 04:18:50|55|297.246705|297.251964|5.050707|4.998476|-99.520522|6.226134|27.324301467057076|107.701827282936080|52.406071|802.556416|802.993408
1622521132|Jun 01 04:18:52|62|297.255912|297.261170|5.050433|4.998185|-99.547254|6.225030|27.323494180115972|107.701404240484095|52.432684|799.256832|799.716352
1622521134|Jun 01 04:18:54|57|297.265169|297.270427|5.050390|4.998125|-99.564835|6.226730|27.322807138033028|107.700752565714239|52.450045|721.024512|721.500416
1622521136|Jun 01 04:18:56|56|297.273803|297.279062|5.050549|4.998269|-99.580484|6.224821|27.322712353740343|107.700408791669858|52.465561|422.153216|422.651648
1622521138|Jun 01 04:18:58|57|297.281881|297.287139|5.050086|4.997791|-99.536184|6.224226|27.322600430507087|107.701002559358088|52.421508|695.006976|695.562240
1622521140|Jun 01 04:19:00|56|297.290727|297.295984|5.049830|4.997519|-99.536184|6.224226|27.322068678561664|107.700840492555216|52.421477|1814.978048|1815.440384
1622521143|Jun 01 04:19:03|55|297.303758|297.309017|5.050730|4.998395|-99.570312|6.221917|27.322318480294783|107.699718834333169|52.455134|859.812096|860.317440
1622521146|Jun 01 04:19:06||1357.595904
1622521149|Jun 01 04:19:09|59|297.324881|297.330138|5.050464|4.998091|-99.580484|6.224821|27.325017447139409|107.702949531582220|52.466442|1054.049024|1054.550528
1622521151|Jun 01 04:19:11||1103.507712
1622521154|Jun 01 04:19:14|58|297.345996|297.351253|5.050545|4.998133|-99.580484|6.224821|27.324908481625449|107.702711028539284|52.466352|1257.756416|1258.278144
1622521156|Jun 01 04:19:16|56|297.357489|297.362746|5.050604|4.998172|-99.536184|6.224226|27.322659461895505|107.700268258340316|52.421207|668.694272|669.167360
1622521158|Jun 01 04:19:18|56|297.366299|297.371556|5.050684|4.998236|-99.526033|6.221322|27.322382650503251|107.699856359058202|52.410907|789.283072|789.771008
1622521161|Jun 01 04:19:21|61|297.375580|297.380838|5.050669|4.998204|-99.543598|6.223017|27.324746614755604|107.702350423698576|52.429330|1391.077376|1391.564544
1622521163|Jun 01 04:19:23|62|297.386470|297.391727|5.050748|4.998263|-99.570312|6.221917|27.322950869018605|107.700352698413184|52.455350|1188.091904|1188.536320
1622521166|Jun 01 04:19:26|58|297.398287|297.403544|5.050824|4.998317|-99.552743|6.220221|27.323526381605625|107.700837193323864|52.437941|1034.395392|1034.908928
1622521168|Jun 01 04:19:28|59|297.407906|297.413164|5.050878|4.998354|-99.597016|6.220813|27.322641145317895|107.699828373883676|52.481862|841.864960|842.328832
1622521171|Jun 01 04:19:31|54|297.417347|297.422604|5.050543|4.998002|-99.526033|6.221322|27.324671086233465|107.702464922875137|52.411817|538.211584|538.649856
1622521173|Jun 01 04:19:33|58|297.426551|297.431809|5.051272|4.998715|-99.547254|6.225030|27.324548412862612|107.701216693968050|52.432539|681.838848|682.307840
1622521175|Jun 01 04:19:35|59|297.434143|297.439400|5.050989|4.998417|-99.564835|6.226730|27.324913354513207|107.702033762916003|52.450428|481.808896|482.298624
1622521177|Jun 01 04:19:37|56|297.442726|297.447983|5.051192|4.998605|-99.580484|6.224821|27.324886117505322|107.701693699237822|52.465941|537.128960|546.840832
1622521179|Jun 01 04:19:39|56|297.451841|297.457097|5.050481|4.997877|-99.564835|6.226730|27.323847572706619|107.701700529354255|52.450362|365.144320|365.618944
1622521180|Jun 01 04:19:40|58|297.458629|297.463885|5.050718|4.998102|-99.570312|6.221917|27.322105154548119|107.699513656314437|52.455065|483.028736|483.494400
1622521182|Jun 01 04:19:42|56|297.465825|297.471082|5.051096|4.998467|-99.564835|6.226730|27.323208537510553|107.700086358279648|52.449748|622.275584|630.300672
1622521184|Jun 01 04:19:44|58|297.474675|297.479931|5.050842|4.998197|-99.564835|6.226730|27.322675414013524|107.699920076162542|52.449716|473.813760|474.270720
1622521186|Jun 01 04:19:46|59|297.483245|297.488501|5.051055|4.998394|-99.580484|6.224821|27.322664396548767|107.699580793728870|52.465228|373.823744|374.280960
1622521188|Jun 01 04:19:48|62|297.490380|297.495636|5.050513|4.997839|-99.580484|6.224821|27.323185943907212|107.700959694275241|52.465753|459.789056|460.307456
1622521190|Jun 01 04:19:50|56|297.498655|297.503910|5.050292|4.997603|-99.552743|6.220221|27.323095007171929|107.701203979354716|52.438117|377.913600|378.352896
1622521192|Jun 01 04:19:52|57|297.506357|297.511613|5.050947|4.998245|-99.564835|6.226730|27.324018810727893|107.701162342150838|52.450132|210.939392|211.466240
1622521193|Jun 01 04:19:53|62|297.512729|297.517984|5.050592|4.997877|-99.562904|6.223123|27.322175672693746|107.699781785222115|52.447761|478.391296|478.917120
1622521195|Jun 01 04:19:55|63|297.520865|297.526119|5.050285|4.997556|-99.554462|6.223126|27.322127429057851|107.700203018276980|52.439493|1173.966848|1174.436608
1622521198|Jun 01 04:19:58||1300.223232
1622521201|Jun 01 04:20:01|63|297.543168|297.548423|5.050701|4.997931|-99.580484|6.224821|27.324428714013045|107.701969974621775|52.466083|1325.516288|1325.990400
1622521203|Jun 01 04:20:03|52|297.553602|297.558858|5.051042|4.998253|-99.570312|6.221917|27.323144099756959|107.700103339805793|52.455237|1270.955776|1271.440896
1622521206|Jun 01 04:20:06|53|297.565387|297.570640|5.049894|4.997084|-99.562260|6.228720|27.322909707116828|107.701621491498969|52.447815|856.833024|857.303552
1622521208|Jun 01 04:20:08|55|297.574707|297.579962|5.051112|4.998285|-99.570312|6.221917|27.323034976955427|107.699881828228641|52.455154|965.456384|965.960448
1622521211|Jun 01 04:20:11|59|297.585398|297.590652|5.050848|4.998002|-99.580484|6.224821|27.324201244713571|107.701505735113855|52.465909|898.734336|899.223808
1622521213|Jun 01 04:20:13||1220.414464
1622521216|Jun 01 04:20:16||1744.566272
1622521219|Jun 01 04:20:19|59|297.619102|297.624356|5.050742|4.997835|-99.564835|6.226730|27.323925279857711|107.701380251378296|52.450227|837.758720|838.263552
1622521221|Jun 01 04:20:21|51|297.627951|297.633204|5.050485|4.997562|-99.564835|6.226730|27.323390929150285|107.701215864205139|52.450195|707.125248|707.614720
1622521223|Jun 01 04:20:23|58|297.636764|297.642018|5.050900|4.997961|-99.607199|6.223716|27.323339146374245|107.700524762037006|52.492282|908.774912|909.255424
1622521226|Jun 01 04:20:26||1698.700544
1622521229|Jun 01 04:20:29|60|297.659919|297.665172|5.050756|4.997774|-99.591561|6.225623|27.324637778292946|107.702104192054421|52.477200|605.091072|605.637632
1622521231|Jun 01 04:20:31|54|297.667969|297.673223|5.051128|4.998132|-99.570312|6.221917|27.325114852996087|107.702030374021589|52.455891|591.862528|592.298752
1622521233|Jun 01 04:20:33|52|297.677237|297.682490|5.050685|4.997672|-99.503496|6.226778|27.324147490693321|107.701699916233906|52.389004|1010.230016|1010.730752
1622521235|Jun 01 04:20:35|56|297.687549|297.692802|5.050625|4.997593|-99.580484|6.224821|27.322679054666153|107.700257259814990|52.465501|742.838528|743.347968
1622521237|Jun 01 04:20:37|58|297.696205|297.701458|5.050649|4.997601|-99.570312|6.221917|27.322476200529799|107.700008791054856|52.455242|740.831232|741.434624
1622521239|Jun 01 04:20:39||1776.360704
1622521243|Jun 01 04:20:43|51|297.719020|297.724273|5.051003|4.997915|-99.570312|6.221917|27.324362463550450|107.701435860727841|52.455698|1104.592896|1105.036544
1622521245|Jun 01 04:20:45|54|297.728946|297.734200|5.051507|4.998401|-99.641298|6.221401|27.323559648339121|107.699822817908199|52.526082|856.406784|856.919552
1622521247|Jun 01 04:20:47||1824.340736
1622521251|Jun 01 04:20:51|56|297.752964|297.758216|5.050579|4.997429|-99.564835|6.226730|27.323694540361274|107.701389029904718|52.450245|955.559936|956.004352
1622521253|Jun 01 04:20:53||1063.581952
1622521256|Jun 01 04:20:56|53|297.772047|297.777300|5.051388|4.998203|-99.597016|6.220813|27.325563962839375|107.702101695610622|52.482595|881.029632|881.467648
1622521258|Jun 01 04:20:58||1354.693376
1622521261|Jun 01 04:21:01|51|297.793383|297.798635|5.051199|4.997976|-99.607199|6.223716|27.325110828780041|107.701917471033624|52.492732|430.786560|431.239168
1622521262|Jun 01 04:21:02||1838.371840
1622521266|Jun 01 04:21:06||1545.937664
1622521269|Jun 01 04:21:09|49|297.827706|297.832958|5.051425|4.998139|-99.609155|6.227321|27.324608339678299|107.701045794238780|52.494368|886.404864|886.882048
